Time,Nodes,Symptomatic
15,9,72.2991
15,10,64.2909
15,11,148.59
15,12,128.864
15,13,32.4644
15,14,122.553
15,15,44.4702
15,16,190.602
15,17,205.671
15,18,117.752
15,19,203.211
15,20,19.1945
15,21,121.705
15,22,15.6556
15,23,102.651
15,24,23.3643
15,25,30.4144
15,26,143.702
15,27,55.0388
15,28,26.08
15,29,53.552
15,30,84.7985
15,31,113.472
15,32,48.353
15,33,154.215
15,34,117.479
15,35,121.787
15,36,94.0667
15,37,193.221
15,38,138.986
15,39,39.5023
15,40,168.898
15,41,234.01
15,42,121.328
15,43,215.866
15,44,82.9937
15,45,137.9
15,46,102.928
15,47,103.987
16,1,88.6082
16,2,5.24525
16,3,116.966
16,4,88.795
16,5,85.6678
16,6,67.951
16,7,42.048
16,8,125.541
16,9,61.694
16,10,54.8607
16,11,126.797
16,12,109.959
16,13,27.7024
16,14,104.58
16,15,37.9472
16,16,162.641
16,17,175.504
16,18,100.483
16,19,173.406
16,20,16.379
16,21,103.854
16,22,13.3594
16,23,87.5951
16,24,19.937
16,25,25.9537
16,26,122.624
16,27,46.9643
16,28,22.2539
16,29,45.6959
16,30,72.3591
16,31,96.8258
16,32,41.2611
16,33,131.595
16,34,100.245
16,35,103.923
16,36,80.2671
16,37,164.874
16,38,118.601
16,39,33.7072
16,40,144.124
16,41,199.682
16,42,103.53
16,43,184.199
16,44,70.8186
16,45,117.67
16,46,87.8307
16,47,88.7349
17,1,75.6324
17,2,4.47718
17,3,99.8227
17,4,75.7908
17,5,73.1219
17,6,57.9978
17,7,35.8892
17,8,107.158
17,9,52.6572
17,10,46.825
17,11,108.227
17,12,93.8497
17,13,23.6447
17,14,89.2643
17,15,32.3889
17,16,138.815
17,17,149.797
17,18,85.7684
17,19,148.008
17,20,13.9799
17,21,88.6419
17,22,11.4028
17,23,74.7659
17,24,17.0165
17,25,22.1527
17,26,104.663
17,27,40.0839
17,28,18.9935
17,29,39.0015
17,30,61.7591
17,31,82.6415
17,32,35.218
17,33,112.32
17,34,85.5591
17,35,88.7013
17,36,68.5081
17,37,140.72
17,38,101.231
17,39,28.7691
17,40,123.013
17,41,170.43
17,42,88.3632
17,43,157.215
17,44,60.4439
17,45,100.431
17,46,74.966
17,47,75.7382
18,1,64.5755
18,2,3.8227
18,3,85.2146
18,4,64.7098
18,5,62.4312
18,6,49.5165
18,7,30.6411
18,8,91.4933
18,9,44.9567
18,10,39.9776
18,11,92.4034
18,12,80.1224
18,13,20.1869
18,14,76.2139
18,15,27.6524
18,16,118.513
18,17,127.892
18,18,73.2296
18,19,126.367
18,20,11.9356
18,21,75.6796
18,22,9.7355
18,23,63.8339
18,24,14.5278
18,25,18.9138
18,26,89.3581
18,27,34.2209
18,28,16.2153
18,29,33.2971
18,30,52.7267
18,31,70.5548
18,32,30.0686
18,33,95.8952
18,34,73.0449
18,35,75.7301
18,36,58.4879
18,37,120.137
18,38,86.4295
18,39,24.5611
18,40,105.025
18,41,145.503
18,42,75.4395
18,43,134.222
18,44,51.6033
18,45,85.7419
18,46,64.0037
18,47,64.6633
19,1,55.1537
19,2,3.26501
19,3,72.7663
19,4,55.2674
19,5,53.3215
19,6,42.2894
19,7,26.169
19,8,78.1451
19,9,38.3949
19,10,34.1428
19,11,78.9197
19,12,68.425
19,13,17.2405
19,14,65.0934
19,15,23.6164
19,16,101.212
19,17,109.226
19,18,62.545
19,19,107.925
19,20,10.1935
19,21,64.6341
19,22,8.31477
19,23,54.5185
19,24,12.4072
19,25,16.1538
19,26,76.3163
19,27,29.2248
19,28,13.8478
19,29,28.4361
19,30,45.0299
19,31,60.2553
19,32,25.6807
19,33,81.8993
19,34,62.3811
19,35,64.677
19,36,49.9493
19,37,102.598
19,38,73.8169
19,39,20.9754
19,40,89.696
19,41,124.263
19,42,64.4269
19,43,114.628
19,44,44.07
19,45,73.2246
19,46,54.6625
19,47,55.2261
20,1,47.1252
20,2,2.78979
20,3,62.1585
20,4,47.2213
20,5,45.559
20,6,36.1309
20,7,22.3583
20,8,66.7708
20,9,32.8034
20,10,29.1708
20,11,67.4299
20,12,58.4572
20,13,14.7297
20,14,55.6174
20,15,20.1772
20,16,86.4697
20,17,93.3205
20,18,53.4404
20,19,92.2106
20,20,8.70912
20,21,55.2219
20,22,7.10414
20,23,46.5806
20,24,10.6001
20,25,13.802
20,26,65.203
20,27,24.9675
20,28,11.8305
20,29,24.2939
20,30,38.4711
20,31,51.4787
20,32,21.9416
20,33,69.973
20,34,53.2942
20,35,55.2584
20,36,42.6734
20,37,87.6523
20,38,63.0693
20,39,17.9199
20,40,76.634
20,41,106.163
20,42,55.0426
20,43,97.9314
20,44,37.6506
20,45,62.5581
20,46,46.7026
20,47,47.1843
21,1,40.284
21,2,2.38485
21,3,53.1189
21,4,40.365
21,5,38.9443
21,6,30.8831
21,7,19.111
21,8,57.0787
21,9,28.0388
21,10,24.934
21,11,57.6391
21,12,49.9633
21,13,12.5902
21,14,47.5427
21,15,17.2465
21,16,73.9071
21,17,79.7667
21,18,45.6823
21,19,78.8198
21,20,7.44418
21,21,47.2014
21,22,6.07253
21,23,39.8165
21,24,9.06023
21,25,11.798
21,26,55.733
21,27,21.3397
21,28,10.1114
21,29,20.7642
21,30,32.8822
21,31,43.9999
21,32,18.7554
21,33,59.8103
21,34,45.5508
21,35,47.2324
21,36,36.4732
21,37,74.9164
21,38,53.9111
21,39,15.3161
21,40,65.5034
21,41,90.7397
21,42,47.0459
21,43,83.7037
21,44,32.1804
21,45,53.4688
21,46,39.9196
21,47,40.3316
22,1,34.4545
22,2,2.03979
22,3,45.4157
22,4,34.5226
22,5,33.3078
22,6,26.4112
22,7,16.3439
22,8,48.8199
22,9,23.9786
22,10,21.3236
22,11,49.2962
22,12,42.7251
22,13,10.7671
22,14,40.662
22,15,14.7492
22,16,63.2019
22,17,68.2171
22,18,39.0714
22,19,67.4091
22,20,6.36628
22,21,40.3669
22,22,5.19346
22,23,34.0526
22,24,7.74804
22,25,10.0903
22,26,47.6633
22,27,18.2482
22,28,8.64643
22,29,17.7563
22,30,28.1196
22,31,37.6268
22,32,16.0404
22,33,51.1502
22,34,38.9523
22,35,40.3932
