Time,Nodes,Symptomatic
11,12,79.7529
11,13,20.2721
11,14,77.3531
11,15,27.8077
11,16,118.404
11,17,128.809
11,18,74.4414
11,19,127.61
11,20,11.9985
11,21,76.267
11,22,9.84267
11,23,64.529
11,24,14.5162
11,25,19.2567
11,26,90.3029
11,27,34.1158
11,28,16.1293
11,29,33.1966
11,30,52.7123
11,31,70.4769
11,32,30.3823
11,33,96.7536
11,34,72.8
11,35,76.1801
11,36,58.3568
11,37,119.706
11,38,87.4684
11,39,24.4453
11,40,105.564
11,41,145.344
11,42,75.3813
11,43,134.136
11,44,51.5367
11,45,85.5757
11,46,64.4404
11,47,62.2291
12,1,56.1814
12,2,3.32168
12,3,70.7306
12,4,56.0114
12,5,54.1297
12,6,42.5061
12,7,26.3299
12,8,79.8941
12,9,38.5642
12,10,34.4268
12,11,80.2103
12,12,68.1148
12,13,17.3139
12,14,66.0653
12,15,23.7498
12,16,101.126
12,17,110.012
12,18,63.5785
12,19,108.989
12,20,10.2476
12,21,65.1373
12,22,8.40636
12,23,55.1125
12,24,12.398
12,25,16.4464
12,26,77.1245
12,27,29.1373
12,28,13.7756
12,29,28.3523
12,30,45.0202
12,31,60.1925
12,32,25.9487
12,33,82.6342
12,34,62.1766
12,35,65.0634
12,36,49.8409
12,37,102.238
12,38,74.7043
12,39,20.8781
12,40,90.1593
12,41,124.135
12,42,64.3811
12,43,114.562
12,44,44.016
12,45,73.0877
12,46,55.0369
12,47,53.1553
13,1,48.0017
13,2,2.83811
13,3,60.4329
13,4,47.8567
13,5,46.2488
13,6,36.3176
13,7,22.4965
13,8,68.2617
13,9,32.9496
13,10,29.4143
13,11,68.5316
13,12,58.1979
13,13,14.7931
13,14,56.4469
13,15,20.292
13,16,86.4025
13,17,93.995
13,18,54.3221
13,19,93.1208
13,20,8.75566
13,21,55.6536
13,22,7.18246
13,23,47.0886
13,24,10.593
13,25,14.0517
13,26,65.895
13,27,24.895
13,28,11.77
13,29,24.2245
13,30,38.4656
13,31,51.429
13,32,22.1709
13,33,70.6028
13,34,53.1242
13,35,55.5906
13,36,42.5844
13,37,87.3526
13,38,63.8278
13,39,17.8384
13,40,77.033
13,41,106.062
13,42,55.0077
13,43,97.8823
13,44,37.6075
13,45,62.4465
13,46,47.0239
13,47,45.4233
14,1,41.0316
14,2,2.42605
14,3,51.658
14,4,40.908
14,5,39.5334
14,6,31.0443
14,7,19.23
14,8,58.3496
14,9,28.1653
14,10,25.1432
14,11,58.5801
14,12,49.7475
14,13,12.6452
14,14,48.2509
14,15,17.3456
14,16,73.8568
14,17,80.3467
14,18,46.4346
14,19,79.5995
14,20,7.48434
14,21,47.5724
14,22,6.13955
14,23,40.2513
14,24,9.05497
14,25,12.0112
14,26,56.3262
14,27,21.2801
14,28,10.0609
14,29,20.7071
14,30,32.8804
14,31,43.9615
14,32,18.9517
14,33,60.3507
14,34,45.4106
14,35,47.5187
14,36,36.401
14,37,74.6687
14,38,54.5599
14,39,15.2483
14,40,65.8479
14,41,90.6618
14,42,47.0205
14,43,83.6695
14,44,32.1468
14,45,53.379
14,46,40.196
14,47,38.8349
15,1,35.0924
15,2,2.07492
15,3,44.1809
15,4,34.9868
15,5,33.8111
15,6,26.5508
15,7,16.4466
15,8,49.9034
15,9,24.0885
15,10,21.5036
15,11,50.1003
15,12,42.5468
15,13,10.8149
15,14,41.267
15,15,14.8349
15,16,63.1663
15,17,68.7167
15,18,39.7136
15,19,68.0779
15,20,6.40103
15,21,40.6863
15,22,5.25088
15,23,34.4251
15,24,7.74438
15,25,10.2724
15,26,48.1724
15,27,18.1998
15,28,8.60465
15,29,17.7098
15,30,28.1212
15,31,37.5984
15,32,16.2086
15,33,51.6147
15,34,38.8376
15,35,40.6406
15,36,31.1321
15,37,63.8607
15,38,46.6625
15,39,13.0412
